"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1.75,1e-04,902,98,660,340,0.902,0.66,0.34,0.098,0.34
0.5,1.75,0.001,898,102,649,351,0.898,0.649,0.351,0.102,0.351
0.5,1.75,0.01,885,115,587,413,0.885,0.587,0.413,0.115,0.413
0.5,1.75,0.05,831,169,371,629,0.831,0.371,0.629,0.169,0.629
0.5,1.75,0.1,766,234,208,792,0.766,0.208,0.792,0.234,0.792
0.5,1.75,0.5,181,819,1,999,0.181,0.001,0.999,0.819,0.999
