"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1.75,1e-04,880,120,554,446,0.88,0.554,0.446,0.12,0.446
1,1.75,0.001,874,126,538,462,0.874,0.538,0.462,0.126,0.462
1,1.75,0.01,857,143,499,501,0.857,0.499,0.501,0.143,0.501
1,1.75,0.05,822,178,329,671,0.822,0.329,0.671,0.178,0.671
1,1.75,0.1,755,245,182,818,0.755,0.182,0.818,0.245,0.818
1,1.75,0.5,201,799,1,999,0.201,0.001,0.999,0.799,0.999
