"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,996,4,918,82,0.996,0.918,0.082,0.004,0.082
0.5,0.001,996,4,909,91,0.996,0.909,0.091,0.004,0.091
0.5,0.01,993,7,852,148,0.993,0.852,0.148,0.007,0.148
0.5,0.05,987,13,621,379,0.987,0.621,0.379,0.013,0.379
0.5,0.1,980,20,417,583,0.98,0.417,0.583,0.02,0.583
0.5,0.5,845,155,10,990,0.845,0.01,0.99,0.155,0.99
