"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,985,15,811,189,0.985,0.811,0.189,0.015,0.189
1,0.001,984,16,805,195,0.984,0.805,0.195,0.016,0.195
1,0.01,984,16,743,257,0.984,0.743,0.257,0.016,0.257
1,0.05,976,24,532,468,0.976,0.532,0.468,0.024,0.468
1,0.1,969,31,341,659,0.969,0.341,0.659,0.031,0.659
1,0.5,845,155,9,991,0.845,0.009,0.991,0.155,0.991
