"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2.5,1e-04,999,1,1000,0,0.999,1,0,0.001,0
1,2.5,0.001,995,5,997,3,0.995,0.997,0.003,0.005,0.003
1,2.5,0.01,982,18,984,16,0.982,0.984,0.016,0.018,0.016
1,2.5,0.05,925,75,895,105,0.925,0.895,0.105,0.075,0.105
1,2.5,0.1,853,147,786,214,0.853,0.786,0.214,0.147,0.214
1,2.5,0.5,344,656,182,818,0.344,0.182,0.818,0.656,0.818
