"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,1000,0,1000,0,1,1,0,0,0
1,0.001,999,1,994,6,0.999,0.994,0.006,0.001,0.00600000000000001
1,0.01,995,5,946,54,0.995,0.946,0.054,0.005,0.054
1,0.05,975,25,780,220,0.975,0.78,0.22,0.025,0.22
1,0.1,949,51,584,416,0.949,0.584,0.416,0.051,0.416
1,0.5,647,353,23,977,0.647,0.023,0.977,0.353,0.977
