"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,1000,0,1000,0,1,1,0,0,0
0.5,0.001,1000,0,997,3,1,0.997,0.003,0,0.003
0.5,0.01,996,4,953,47,0.996,0.953,0.047,0.004,0.047
0.5,0.05,970,30,778,222,0.97,0.778,0.222,0.03,0.222
0.5,0.1,943,57,564,436,0.943,0.564,0.436,0.057,0.436
0.5,0.5,646,354,24,976,0.646,0.024,0.976,0.354,0.976
