"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,498,502,276,724,0.498,0.276,0.724,0.502,0.724
1,0.001,490,510,268,732,0.49,0.268,0.732,0.51,0.732
1,0.01,478,522,250,750,0.478,0.25,0.75,0.522,0.75
1,0.05,434,566,181,819,0.434,0.181,0.819,0.566,0.819
1,0.1,369,631,119,881,0.369,0.119,0.881,0.631,0.881
1,0.5,26,974,1,999,0.026,0.001,0.999,0.974,0.999
