"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,589,411,407,593,0.589,0.407,0.593,0.411,0.593
0.5,0.001,583,417,396,604,0.583,0.396,0.604,0.417,0.604
0.5,0.01,559,441,365,635,0.559,0.365,0.635,0.441,0.635
0.5,0.05,474,526,257,743,0.474,0.257,0.743,0.526,0.743
0.5,0.1,406,594,157,843,0.406,0.157,0.843,0.594,0.843
0.5,0.5,31,969,1,999,0.031,0.001,0.999,0.969,0.999
