"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,193,807,143,857,0.193,0.143,0.857,0.807,0.857
0.5,0.001,190,810,138,862,0.19,0.138,0.862,0.81,0.862
0.5,0.01,186,814,125,875,0.186,0.125,0.875,0.814,0.875
0.5,0.05,144,856,96,904,0.144,0.096,0.904,0.856,0.904
0.5,0.1,98,902,53,947,0.098,0.053,0.947,0.902,0.947
0.5,0.5,8,992,0,1000,0.008,0,1,0.992,1
