"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2.5,1e-04,999,1,1000,0,0.999,1,0,0.001,0
1,2.5,0.001,999,1,996,4,0.999,0.996,0.004,0.001,0.004
1,2.5,0.01,982,18,942,58,0.982,0.942,0.058,0.018,0.0580000000000001
1,2.5,0.05,910,90,724,276,0.91,0.724,0.276,0.09,0.276
1,2.5,0.1,833,167,486,514,0.833,0.486,0.514,0.167,0.514
1,2.5,0.5,119,881,8,992,0.119,0.008,0.992,0.881,0.992
