"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,2,1e-04,"Induced","Detected",1000
1,2,1e-04,"Induced","Not Detected",0
1,2,1e-04,"Not Induced","Detected",1000
1,2,1e-04,"Not Induced","Not Detected",0
1,2,0.001,"Induced","Detected",998
1,2,0.001,"Induced","Not Detected",2
1,2,0.001,"Not Induced","Detected",993
1,2,0.001,"Not Induced","Not Detected",7
1,2,0.01,"Induced","Detected",992
1,2,0.01,"Induced","Not Detected",8
1,2,0.01,"Not Induced","Detected",909
1,2,0.01,"Not Induced","Not Detected",91
1,2,0.05,"Induced","Detected",942
1,2,0.05,"Induced","Not Detected",58
1,2,0.05,"Not Induced","Detected",610
1,2,0.05,"Not Induced","Not Detected",390
1,2,0.1,"Induced","Detected",874
1,2,0.1,"Induced","Not Detected",126
1,2,0.1,"Not Induced","Detected",330
1,2,0.1,"Not Induced","Not Detected",670
1,2,0.5,"Induced","Detected",209
1,2,0.5,"Induced","Not Detected",791
1,2,0.5,"Not Induced","Detected",1
1,2,0.5,"Not Induced","Not Detected",999
