"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,972,28,735,265,0.972,0.735,0.265,0.028,0.265
1,0.001,972,28,728,272,0.972,0.728,0.272,0.028,0.272
1,0.01,968,32,683,317,0.968,0.683,0.317,0.032,0.317
1,0.05,967,33,536,464,0.967,0.536,0.464,0.033,0.464
1,0.1,958,42,397,603,0.958,0.397,0.603,0.042,0.603
1,0.5,815,185,22,978,0.815,0.022,0.978,0.185,0.978
