"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,987,13,878,122,0.987,0.878,0.122,0.013,0.122
0.5,0.001,987,13,873,127,0.987,0.873,0.127,0.013,0.127
0.5,0.01,986,14,834,166,0.986,0.834,0.166,0.014,0.166
0.5,0.05,977,23,668,332,0.977,0.668,0.332,0.023,0.332
0.5,0.1,969,31,499,501,0.969,0.499,0.501,0.031,0.501
0.5,0.5,810,190,49,951,0.81,0.049,0.951,0.19,0.951
