"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1.75,1e-04,635,365,360,640,0.635,0.36,0.64,0.365,0.64
1,1.75,0.001,630,370,352,648,0.63,0.352,0.648,0.37,0.648
1,1.75,0.01,615,385,330,670,0.615,0.33,0.67,0.385,0.67
1,1.75,0.05,573,427,249,751,0.573,0.249,0.751,0.427,0.751
1,1.75,0.1,514,486,174,826,0.514,0.174,0.826,0.486,0.826
1,1.75,0.5,109,891,5,995,0.109,0.005,0.995,0.891,0.995
