"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1.75,1e-04,674,326,450,550,0.674,0.45,0.55,0.326,0.55
0.5,1.75,0.001,665,335,441,559,0.665,0.441,0.559,0.335,0.559
0.5,1.75,0.01,651,349,419,581,0.651,0.419,0.581,0.349,0.581
0.5,1.75,0.05,600,400,331,669,0.6,0.331,0.669,0.4,0.669
0.5,1.75,0.1,536,464,234,766,0.536,0.234,0.766,0.464,0.766
0.5,1.75,0.5,91,909,5,995,0.091,0.005,0.995,0.909,0.995
