"Alpha","Iteration","BestLambda"
1,1,0.0113496726515367
1,2,0.00440541340134864
1,3,0.00440541340134864
1,4,0.0017099759466767
1,5,0.0113496726515367
1,6,0.00440541340134864
1,7,0.0017099759466767
1,8,0.00440541340134864
1,9,0.0017099759466767
1,10,0.00440541340134864
1,11,0.00440541340134864
1,12,0.0113496726515367
1,13,0.0113496726515367
1,14,0.0017099759466767
1,15,0.00440541340134864
1,16,0.00440541340134864
1,17,0.0017099759466767
1,18,0.0017099759466767
1,19,0.00440541340134864
1,20,0.0017099759466767
1,21,0.000663732883120058
1,22,0.0113496726515367
1,23,0.00440541340134864
1,24,0.00440541340134864
1,25,0.00440541340134864
1,26,0.0017099759466767
1,27,0.0017099759466767
1,28,0.0017099759466767
1,29,0.00440541340134864
1,30,0.0113496726515367
1,31,0.00440541340134864
1,32,0.0017099759466767
1,33,0.00440541340134864
1,34,0.00440541340134864
1,35,0.00440541340134864
1,36,0.00440541340134864
1,37,0.0017099759466767
1,38,0.0017099759466767
1,39,0.0113496726515367
1,40,0.00440541340134864
1,41,0.00440541340134864
1,42,0.00440541340134864
1,43,0.00440541340134864
1,44,0.00440541340134864
1,45,0.0017099759466767
1,46,0.00440541340134864
1,47,0.00440541340134864
1,48,0.0017099759466767
1,49,0.00440541340134864
1,50,0.0113496726515367
1,51,0.00440541340134864
1,52,0.0017099759466767
1,53,0.00440541340134864
1,54,0.0113496726515367
1,55,0.00440541340134864
1,56,0.00440541340134864
1,57,0.0113496726515367
1,58,0.0017099759466767
1,59,0.00440541340134864
1,60,0.0017099759466767
1,61,0.000663732883120058
1,62,0.0017099759466767
1,63,0.0113496726515367
1,64,0.00440541340134864
1,65,0.00440541340134864
1,66,0.0113496726515367
1,67,0.00440541340134864
1,68,0.00440541340134864
1,69,0.0113496726515367
1,70,0.00440541340134864
1,71,0.00440541340134864
1,72,0.0113496726515367
1,73,0.0113496726515367
1,74,0.00440541340134864
1,75,0.00440541340134864
1,76,0.0017099759466767
1,77,0.0113496726515367
1,78,0.00440541340134864
1,79,0.0113496726515367
1,80,0.00440541340134864
1,81,0.00440541340134864
1,82,0.0113496726515367
1,83,0.0017099759466767
1,84,0.00440541340134864
1,85,0.0017099759466767
1,86,0.0113496726515367
1,87,0.0017099759466767
1,88,0.0113496726515367
1,89,0.00440541340134864
1,90,0.000663732883120058
1,91,0.00440541340134864
1,92,0.000663732883120058
1,93,0.0017099759466767
1,94,0.00440541340134864
1,95,0.00440541340134864
1,96,0.0113496726515367
1,97,0.0017099759466767
1,98,0.00440541340134864
1,99,0.0113496726515367
1,100,0.00440541340134864
