"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,994,6,896,104,0.994,0.896,0.104,0.006,0.104
1,0.001,989,11,828,172,0.989,0.828,0.172,0.011,0.172
1,0.01,985,15,731,269,0.985,0.731,0.269,0.015,0.269
1,0.05,966,34,452,548,0.966,0.452,0.548,0.034,0.548
1,0.1,942,58,253,747,0.942,0.253,0.747,0.058,0.747
1,0.5,620,380,0,1000,0.62,0,1,0.38,1
