"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,994,6,924,76,0.994,0.924,0.076,0.006,0.076
0.5,0.001,992,8,866,134,0.992,0.866,0.134,0.008,0.134
0.5,0.01,986,14,764,236,0.986,0.764,0.236,0.014,0.236
0.5,0.05,964,36,480,520,0.964,0.48,0.52,0.036,0.52
0.5,0.1,936,64,251,749,0.936,0.251,0.749,0.064,0.749
0.5,0.5,585,415,2,998,0.585,0.002,0.998,0.415,0.998
