"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,0.5,1e-04,1000,0,1000,0,1,1,0,0,0
1,0.5,0.001,1000,0,998,2,1,0.998,0.002,0,0.002
1,0.5,0.01,998,2,964,36,0.998,0.964,0.036,0.002,0.036
1,0.5,0.05,990,10,839,161,0.99,0.839,0.161,0.01,0.161
1,0.5,0.1,983,17,661,339,0.983,0.661,0.339,0.017,0.339
1,0.5,0.5,848,152,91,909,0.848,0.091,0.909,0.152,0.909
