"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2,1e-04,1000,0,999,1,1,0.999,0.001,0,0.001
1,2,0.001,997,3,991,9,0.997,0.991,0.009,0.003,0.00900000000000001
1,2,0.01,990,10,939,61,0.99,0.939,0.061,0.01,0.0610000000000001
1,2,0.05,938,62,751,249,0.938,0.751,0.249,0.062,0.249
1,2,0.1,871,129,518,482,0.871,0.518,0.482,0.129,0.482
1,2,0.5,228,772,12,988,0.228,0.012,0.988,0.772,0.988
