"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,855,145,513,487,0.855,0.513,0.487,0.145,0.487
1,0.001,852,148,502,498,0.852,0.502,0.498,0.148,0.498
1,0.01,846,154,478,522,0.846,0.478,0.522,0.154,0.522
1,0.05,832,168,410,590,0.832,0.41,0.59,0.168,0.59
1,0.1,819,181,334,666,0.819,0.334,0.666,0.181,0.666
1,0.5,641,359,70,930,0.641,0.07,0.93,0.359,0.93
