"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,927,73,738,262,0.927,0.738,0.262,0.073,0.262
0.5,0.001,926,74,731,269,0.926,0.731,0.269,0.074,0.269
0.5,0.01,922,78,710,290,0.922,0.71,0.29,0.078,0.29
0.5,0.05,909,91,616,384,0.909,0.616,0.384,0.091,0.384
0.5,0.1,875,125,535,465,0.875,0.535,0.465,0.125,0.465
0.5,0.5,661,339,92,908,0.661,0.092,0.908,0.339,0.908
