"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1.75,1e-04,965,35,696,304,0.965,0.696,0.304,0.035,0.304
1,1.75,0.001,964,36,680,320,0.964,0.68,0.32,0.036,0.32
1,1.75,0.01,948,52,574,426,0.948,0.574,0.426,0.052,0.426
1,1.75,0.05,907,93,286,714,0.907,0.286,0.714,0.093,0.714
1,1.75,0.1,867,133,107,893,0.867,0.107,0.893,0.133,0.893
1,1.75,0.5,242,758,0,1000,0.242,0,1,0.758,1
