"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1.75,1e-04,977,23,767,233,0.977,0.767,0.233,0.023,0.233
0.5,1.75,0.001,975,25,750,250,0.975,0.75,0.25,0.025,0.25
0.5,1.75,0.01,966,34,647,353,0.966,0.647,0.353,0.034,0.353
0.5,1.75,0.05,939,61,288,712,0.939,0.288,0.712,0.061,0.712
0.5,1.75,0.1,867,133,84,916,0.867,0.084,0.916,0.133,0.916
0.5,1.75,0.5,233,767,0,1000,0.233,0,1,0.767,1
