"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,716,284,436,564,0.716,0.436,0.564,0.284,0.564
0.5,0.001,706,294,423,577,0.706,0.423,0.577,0.294,0.577
0.5,0.01,672,328,368,632,0.672,0.368,0.632,0.328,0.632
0.5,0.05,562,438,217,783,0.562,0.217,0.783,0.438,0.783
0.5,0.1,406,594,98,902,0.406,0.098,0.902,0.594,0.902
0.5,0.5,2,998,1,999,0.002,0.001,0.999,0.998,0.999
