"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
0.5,4,1,0.0292401773821287,4,-1551.31366519915
0.5,4,2,0.0292401773821287,8,-1600.74150883226
0.5,4,3,0.0753315095147334,7,-1619.5464965074
0.5,4,4,0.0292401773821287,7,-1546.24614608972
0.5,4,5,0.0753315095147334,9,-1612.66428677745
0.5,4,6,0.0753315095147334,8,-1601.4152018289
0.5,4,7,0.0753315095147334,8,-1571.41964068276
0.5,4,8,0.0753315095147334,8,-1584.96899785985
0.5,4,9,0.0753315095147334,7,-1632.35122703664
0.5,4,10,0.0753315095147334,7,-1588.57330486613
0.5,4,11,0.0292401773821287,8,-1600.63479395895
0.5,4,12,0.0753315095147334,4,-1598.13684972384
0.5,4,13,0.0753315095147334,8,-1618.89483209106
0.5,4,14,0.0753315095147334,8,-1618.86164659564
0.5,4,15,0.0753315095147334,9,-1595.67803162079
0.5,4,16,0.0292401773821287,4,-1574.47424939988
0.5,4,17,0.0292401773821287,8,-1594.12571112282
0.5,4,18,0.0753315095147334,8,-1621.9477639341
0.5,4,19,0.0753315095147334,9,-1602.85588226822
0.5,4,20,0.0292401773821287,4,-1572.41510229514
0.5,4,21,0.194076672367821,9,-1635.31655120106
0.5,4,22,0.0753315095147334,8,-1611.56224261237
0.5,4,23,0.0753315095147334,7,-1630.75319706878
0.5,4,24,0.0292401773821287,4,-1584.31671499496
0.5,4,25,0.0292401773821287,7,-1587.34414267461
0.5,4,26,0.0753315095147334,8,-1609.82610856671
0.5,4,27,0.0292401773821287,7,-1599.37995665126
0.5,4,28,0.0292401773821287,8,-1618.38491335832
0.5,4,29,0.00440541340134864,7,-1578.38596675407
0.5,4,30,0.0753315095147334,7,-1600.35676944005
0.5,4,31,0.0753315095147334,7,-1591.83559356958
0.5,4,32,0.0753315095147334,7,-1598.98458600084
0.5,4,33,0.0753315095147334,7,-1607.22995488996
0.5,4,34,0.0753315095147334,7,-1614.99675478421
0.5,4,35,0.0753315095147334,7,-1606.0457094407
0.5,4,36,0.0753315095147334,8,-1599.28017411427
0.5,4,37,0.0753315095147334,9,-1598.04083040719
0.5,4,38,0.0753315095147334,8,-1623.24780442128
0.5,4,39,0.0753315095147334,7,-1606.36282170407
0.5,4,40,0.0753315095147334,8,-1593.96879069651
0.5,4,41,0.0753315095147334,4,-1609.29289819553
0.5,4,42,0.0292401773821287,4,-1610.33903497537
0.5,4,43,0.0753315095147334,8,-1611.05500759576
0.5,4,44,0.0292401773821287,8,-1598.55405415354
0.5,4,45,0.0292401773821287,7,-1596.4638060123
0.5,4,46,0.00440541340134864,8,-1594.97509928769
0.5,4,47,0.0292401773821287,8,-1591.8462229728
0.5,4,48,0.0292401773821287,4,-1596.81868311176
0.5,4,49,0.0753315095147334,9,-1607.67210620587
0.5,4,50,0.0753315095147334,7,-1570.6076769953
0.5,4,51,0.0753315095147334,8,-1625.19590288111
0.5,4,52,0.0753315095147334,8,-1606.29773014421
0.5,4,53,0.0753315095147334,8,-1614.6904130742
0.5,4,54,0.0753315095147334,8,-1607.49166889679
0.5,4,55,0.0753315095147334,9,-1627.70056915574
0.5,4,56,0.0753315095147334,8,-1610.55459442161
0.5,4,57,0.0753315095147334,7,-1614.07107454905
0.5,4,58,0.0753315095147334,8,-1626.68649169895
0.5,4,59,0.194076672367821,7,-1616.12044902762
0.5,4,60,0.0753315095147334,9,-1627.2015323907
0.5,4,61,0.194076672367821,8,-1634.58158329262
0.5,4,62,0.0753315095147334,8,-1613.12575792609
0.5,4,63,0.0753315095147334,8,-1629.16000660645
0.5,4,64,0.0753315095147334,8,-1612.95888279442
0.5,4,65,0.0292401773821287,8,-1567.12799821956
0.5,4,66,0.0753315095147334,8,-1578.25121863338
0.5,4,67,0.0753315095147334,8,-1593.70850079243
0.5,4,68,0.0292401773821287,7,-1604.16535967309
0.5,4,69,0.0292401773821287,7,-1571.31900872518
0.5,4,70,0.0292401773821287,8,-1582.64805357929
0.5,4,71,0.0292401773821287,7,-1591.97374556663
0.5,4,72,0.194076672367821,8,-1619.66644079545
0.5,4,73,0.0753315095147334,8,-1629.30622033377
0.5,4,74,0.0753315095147334,7,-1591.55674479243
0.5,4,75,0.0292401773821287,8,-1580.00420735919
0.5,4,76,0.0753315095147334,8,-1633.99666458466
0.5,4,77,0.0753315095147334,8,-1590.46425514684
0.5,4,78,0.0753315095147334,8,-1581.90940071551
0.5,4,79,0.0753315095147334,8,-1591.08413917358
0.5,4,80,0.0753315095147334,8,-1617.15048185745
0.5,4,81,0.0292401773821287,8,-1565.47992453014
0.5,4,82,0.0753315095147334,9,-1601.91723790468
0.5,4,83,0.0753315095147334,9,-1588.16128855368
0.5,4,84,0.0753315095147334,7,-1597.87774310553
0.5,4,85,0.0753315095147334,7,-1593.32776189045
0.5,4,86,0.0753315095147334,8,-1581.13207540192
0.5,4,87,0.0753315095147334,7,-1614.12479520001
0.5,4,88,0.0753315095147334,7,-1623.91215810997
0.5,4,89,0.0753315095147334,8,-1601.58292214111
0.5,4,90,0.0753315095147334,7,-1610.00680622029
0.5,4,91,0.0753315095147334,4,-1562.33328066997
0.5,4,92,0.0753315095147334,8,-1599.96370150674
0.5,4,93,0.0292401773821287,8,-1571.76681051853
0.5,4,94,0.0753315095147334,8,-1635.54506225536
0.5,4,95,0.0753315095147334,9,-1582.44511963861
0.5,4,96,0.0753315095147334,7,-1613.93800676778
0.5,4,97,0.0753315095147334,4,-1616.20705643534
0.5,4,98,0.0753315095147334,7,-1628.44946940816
0.5,4,99,0.0753315095147334,8,-1629.42585967999
0.5,4,100,0.0753315095147334,7,-1629.08823319044
