"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,6,1e-04,1000,0,1000,0,1,1,0,0,0
1,6,0.001,1000,0,991,9,1,0.991,0.009,0,0.00900000000000001
1,6,0.01,967,33,939,61,0.967,0.939,0.061,0.033,0.0610000000000001
1,6,0.05,801,199,710,290,0.801,0.71,0.29,0.199,0.29
1,6,0.1,626,374,450,550,0.626,0.45,0.55,0.374,0.55
1,6,0.5,16,984,7,993,0.016,0.007,0.993,0.984,0.993
