"Alpha","Threshold","TrueStatus","Predicted","Count"
0.5,1e-04,"Induced","Detected",1000
0.5,1e-04,"Induced","Not Detected",0
0.5,1e-04,"Not Induced","Detected",999
0.5,1e-04,"Not Induced","Not Detected",1
0.5,0.001,"Induced","Detected",1000
0.5,0.001,"Induced","Not Detected",0
0.5,0.001,"Not Induced","Detected",995
0.5,0.001,"Not Induced","Not Detected",5
0.5,0.01,"Induced","Detected",995
0.5,0.01,"Induced","Not Detected",5
0.5,0.01,"Not Induced","Detected",915
0.5,0.01,"Not Induced","Not Detected",85
0.5,0.05,"Induced","Detected",974
0.5,0.05,"Induced","Not Detected",26
0.5,0.05,"Not Induced","Detected",632
0.5,0.05,"Not Induced","Not Detected",368
0.5,0.1,"Induced","Detected",953
0.5,0.1,"Induced","Not Detected",47
0.5,0.1,"Not Induced","Detected",391
0.5,0.1,"Not Induced","Not Detected",609
0.5,0.5,"Induced","Detected",628
0.5,0.5,"Induced","Not Detected",372
0.5,0.5,"Not Induced","Detected",4
0.5,0.5,"Not Induced","Not Detected",996
