"Alpha","Iteration","BestLambda"
1,1,0.0292401773821287
1,2,0.0113496726515367
1,3,0.0113496726515367
1,4,0.0113496726515367
1,5,0.0292401773821287
1,6,0.00440541340134864
1,7,0.0113496726515367
1,8,0.0292401773821287
1,9,0.00440541340134864
1,10,0.0113496726515367
1,11,0.0292401773821287
1,12,0.0292401773821287
1,13,0.0113496726515367
1,14,0.0292401773821287
1,15,0.00440541340134864
1,16,0.0113496726515367
1,17,0.0292401773821287
1,18,0.00440541340134864
1,19,0.0292401773821287
1,20,1e-04
1,21,0.0292401773821287
1,22,1e-04
1,23,0.0113496726515367
1,24,0.0113496726515367
1,25,0.0113496726515367
1,26,0.0113496726515367
1,27,0.0113496726515367
1,28,0.0292401773821287
1,29,1e-04
1,30,0.0113496726515367
1,31,0.0292401773821287
1,32,0.0292401773821287
1,33,0.0113496726515367
1,34,0.000663732883120058
1,35,1e-04
1,36,0.0113496726515367
1,37,0.00440541340134864
1,38,0.0292401773821287
1,39,0.00440541340134864
1,40,0.0292401773821287
1,41,0.0113496726515367
1,42,0.0292401773821287
1,43,0.0292401773821287
1,44,0.0113496726515367
1,45,0.0292401773821287
1,46,0.0292401773821287
1,47,0.0292401773821287
1,48,0.00440541340134864
1,49,0.0113496726515367
1,50,0.00440541340134864
1,51,0.0292401773821287
1,52,1e-04
1,53,0.0113496726515367
1,54,0.0292401773821287
1,55,0.00440541340134864
1,56,1e-04
1,57,0.00440541340134864
1,58,0.0113496726515367
1,59,0.0113496726515367
1,60,0.0292401773821287
1,61,0.0292401773821287
1,62,0.0292401773821287
1,63,0.0292401773821287
1,64,0.0292401773821287
1,65,0.000663732883120058
1,66,0.0292401773821287
1,67,0.0292401773821287
1,68,0.0292401773821287
1,69,0.0113496726515367
1,70,0.0292401773821287
1,71,0.0113496726515367
1,72,0.00440541340134864
1,73,0.0113496726515367
1,74,0.0292401773821287
1,75,0.00440541340134864
1,76,0.00440541340134864
1,77,0.0292401773821287
1,78,0.0292401773821287
1,79,0.000663732883120058
1,80,0.0017099759466767
1,81,0.0292401773821287
1,82,0.0113496726515367
1,83,0.00440541340134864
1,84,0.0292401773821287
1,85,0.00440541340134864
1,86,0.0113496726515367
1,87,0.000257630138594082
1,88,0.0753315095147334
1,89,0.0292401773821287
1,90,0.0113496726515367
1,91,0.0292401773821287
1,92,0.0292401773821287
1,93,0.000257630138594082
1,94,0.0292401773821287
1,95,0.0113496726515367
1,96,0.0292401773821287
1,97,0.00440541340134864
1,98,0.0292401773821287
1,99,0.0292401773821287
1,100,0.0292401773821287
