"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,982,18,950,50,0.982,0.95,0.05,0.018,0.05
0.5,0.001,957,43,884,116,0.957,0.884,0.116,0.043,0.116
0.5,0.01,914,86,798,202,0.914,0.798,0.202,0.086,0.202
0.5,0.05,859,141,684,316,0.859,0.684,0.316,0.141,0.316
0.5,0.1,813,187,570,430,0.813,0.57,0.43,0.187,0.43
0.5,0.5,478,522,79,921,0.478,0.079,0.921,0.522,0.921
