"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,978,22,923,77,0.978,0.923,0.077,0.022,0.077
1,0.001,948,52,866,134,0.948,0.866,0.134,0.052,0.134
1,0.01,922,78,797,203,0.922,0.797,0.203,0.078,0.203
1,0.05,881,119,700,300,0.881,0.7,0.3,0.119,0.3
1,0.1,840,160,611,389,0.84,0.611,0.389,0.16,0.389
1,0.5,537,463,122,878,0.537,0.122,0.878,0.463,0.878
