"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,995,5,901,99,0.995,0.901,0.099,0.005,0.099
1,0.001,993,7,837,163,0.993,0.837,0.163,0.007,0.163
1,0.01,987,13,711,289,0.987,0.711,0.289,0.013,0.289
1,0.05,968,32,403,597,0.968,0.403,0.597,0.032,0.597
1,0.1,946,54,165,835,0.946,0.165,0.835,0.054,0.835
1,0.5,627,373,0,1000,0.627,0,1,0.373,1
