"Alpha","Iteration","ASC2_male","ASC3_age","cost_income","prot25_child","prot50_child","invasive_child"
1,1,-0.427351279865442,1.01910761222894,1.25609200960043,1.19603257496993,-1.16643235282696,-0.781440877199827
1,2,-0.0836080467168078,0.979376332477832,-0.0619744667720829,0.0214742642769256,-0.000116950215831645,-0.129794993636283
1,3,-8.19152321501797e-06,-0.863502579572926,0.219781980553431,-0.0607323692484317,0.330674787661496,0.000273062113739877
1,4,0.398582977176567,0.400286214339658,-0.372112175708464,0.13376017775663,-0.151505126267353,9.09714572285473e-05
1,5,1.83242028499591,0.426961518209911,-0.254847991839403,-0.531367469131286,-0.171697488458555,-0.810628261129089
1,6,0.000160465042621,-0.118169505459071,-0.607374393295598,5.40740254273412e-05,5.81836517883206e-05,-0.473123849651948
1,7,-0.0867133934703462,0.900473350231244,-0.795900960713405,0.0113431607952685,-0.00821868259767575,1.94873110856683e-05
1,8,-0.705934726944214,-0.188095552355258,0.971019093280761,0.0001394620346799,2.49727648757346e-05,5.20268095076653e-05
1,9,0.861563680444128,0.474413392035451,-1.43768896876068,-0.422150992090088,0.49663488764327,0.106088018147142
1,10,-0.401839276613247,0.809202403241847,3.44060023678096e-07,0.858624256505881,0.160484831513507,0.189580368518208
