"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
0.5,1,0.569358386471554,0.556968748520549,0.480547770209734,0.334504731859188,0.398470544069295,0.369034414650185,0.316535473388974,0.174349328275582,0.384635385318687,0.169188077946523,0.182157520721775,0.747086819673112,0.834836430669656,0.808453653144944
0.5,2,0.443240883976706,0.423159500586931,0.37732819813184,0.319740262979375,0.345907911696423,0.331261119742407,0.310541000457452,0.000756161888563457,0.388546364785325,0.175386371401187,0.222232488588416,0.56047034291622,0.563211155357793,0.586756689481856
0.5,3,0.593513655972984,0.536409386352864,0.486654667031015,0.365057416238888,0.419217955826193,0.370265200822805,0.355964949068831,0.180051198446528,0.39661431754832,0.196770269035983,0.116654666453002,0.689320727031431,0.639148189898126,0.655739377230417
0.5,4,0.517150791823902,0.518468215089146,0.457203702554994,0.324021977252078,0.40127640203323,0.346345246895044,0.346336002233869,0.170697418907996,0.384993518687931,0.19784994695471,0.110932608533768,0.632933547464705,0.657157306505496,0.614609021946682
0.5,5,0.605736777902337,0.576920636148622,0.486759255871755,0.400149739938307,0.47648395495593,0.391122650387273,0.404080375172947,0.183388800393058,0.402750175809479,0.208927743379638,0.115777631609587,0.638125159891993,0.680603889981963,0.687507686530478
0.5,6,0.344435061959856,0.310219444313903,0.305785242501154,0.267272446268155,0.293976643406736,0.265097828642246,0.266769996334937,0.1419955205633,0.309868843508295,0.174906419487816,0.169738070511404,0.411154740761029,0.37887354828011,0.382138016068719
0.5,7,0.419780268093543,0.409216512817644,0.385915256010843,0.286144348265328,0.327292776938037,0.304246859487412,0.291661047676814,0.154531719397069,0.341319019155963,0.164708567991837,0.104400454347542,0.539782115911578,0.507458185164195,0.503467156462369
0.5,8,0.476310556676068,0.457924510174509,0.423346710158719,0.348620757748756,0.401540971470462,0.337013257862884,0.341873713803469,0.18131267700535,0.374577218101258,0.204916720111791,0.220165808756538,0.566274906679184,0.531572308657754,0.540551249509186
0.5,9,0.611958947306611,0.598667317347124,0.515391598694546,0.364869902636718,0.456200669148735,0.44256232309765,0.349744674839219,0.198988842840294,0.432216742146702,0.244144103587855,0.247877070732833,0.683147248315296,0.869920323357898,0.753280300395767
0.5,10,0.534177284004159,0.489787601639574,0.426100602413578,0.349388475494351,0.418831158224834,0.368297581286355,0.344662550932159,0.180715282274571,0.391801742852234,0.209092962847442,0.237592825131843,0.579521987818394,0.568366894976781,0.584880028610343
