"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
1,1,0.612274737274437,0.600345384772995,0.509452340248699,0.375688460692598,0.487464138301945,0.423792886497527,0.387190837061816,0.20013449842922,0.433436374446397,0.241235510371392,0.29266235833876,0.721256969074728,0.72093055076132,0.703309555860429
1,2,0.569432530598839,0.574155365412362,0.470522879700745,0.354119778384069,0.404604106760925,0.376627849096594,0.338993713562643,0.170830123228536,0.386164779452678,0.237124328120344,0.166581368733925,0.638431122312329,0.702582516131434,0.696517452216455
1,3,0.587718616640451,0.537644171998905,0.467342293808271,0.358569764959398,0.430914117043863,0.371800270468851,0.347065816137825,0.172371818441626,0.37667372599403,0.214980040041516,0.153010993284051,0.697421780169384,0.62403177633305,0.613034247570463
1,4,0.563142122971246,0.532002422529025,0.453360424557457,0.350597920860802,0.460148468143821,0.355614672172256,0.387005472710992,0.163040639624754,0.362708514084258,0.208826099887112,0.208991384201509,0.577754427777491,0.557209858166383,0.555889325937519
1,5,0.694900890620275,0.687123840012598,0.537329919723607,0.408287307283365,0.490986255660841,0.42618656270749,0.426075778106776,0.201840002441134,0.461198395215062,0.218072014606721,0.204331907238756,0.801398979218574,0.709548585519529,0.793775244967537
1,6,0.592306352754986,0.58857580682109,0.516053939632884,0.36847204765703,0.430750038240813,0.419647520417696,0.341152917998836,0.188910770959813,0.391988541332955,0.199952994868036,0.216123448286417,0.741432135660513,0.707381458289642,0.661862172025012
1,7,0.571332139598686,0.530547114324102,0.456122547227934,0.356697786892651,0.418687556676017,0.385044919733181,0.350562354415614,0.167031495418135,0.373004898653052,0.211975008456504,0.216619604792313,0.588458410412924,0.593700206267959,0.563838189043813
1,8,0.612398494162962,0.56079110801865,0.475136069699729,0.3515908700025,0.439499019201565,0.392508270674074,0.324738423127482,0.18444466533299,0.410971688727674,0.176298282377357,0.225692034406204,0.845891885470108,0.800445670396531,0.754966999765762
1,9,0.644311685872752,0.621544431896889,0.530055719723456,0.397386520425423,0.482973562987023,0.438548793537691,0.393851932790062,0.199373628695043,0.457714877223577,0.220137626411902,0.28467424984723,0.758625158883125,0.749269394368025,0.786387293867487
1,10,0.648916307255772,0.627141230761498,0.520729161205645,0.365924255186367,0.473614663242157,0.418250639368303,0.395390888395846,0.188761379206442,0.426273870691118,0.214433974620041,0.19292876769779,0.641937564285312,0.68445802536728,0.628045756691581
