"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
1,1,0.0570819301889443,0.00929462226065714,0.0110402174593538,0.0615887139798845,0.00106003831693258,0.000417057241985264,0.00358904657534875,0.0788114797502868,0.324152343227402,2.39435717983572e-05,1.77111378938388e-05,0.0972647210457362,0.105672545970039,0.266529206223709
1,2,0.8834615268258,0.972885013309482,0.610601375101832,0.112724962080189,0.242605903854208,0.00319735252300579,0.378069590400036,0.11278579947347,0.828591219473519,3.62411665351114e-05,0.709865149036498,0.973167420838933,0.999867186032927,0.85217146338954
1,3,0.999907825083954,0.963948909011671,0.692182080459285,0.858736197973331,0.602776395552012,0.00998222963072859,0.0183280112571147,0.877418453870724,0.999982648405102,5.9027799686806e-05,0.150894148041997,0.930606919003558,0.596180877966444,0.99964460054499
1,4,0.927364326949405,0.999739316450944,0.701812124451532,0.100205238915145,0.560038075922777,0.0266445989057931,0.16554640265495,0.396513977834175,0.271808570406007,0.0552582657613623,0.0749918096021558,0.81691290323134,0.785699234380181,0.999869425949581
1,5,0.104305995344647,0.102147591205619,0.32328321330816,0.0480963938050345,0.0938873246469427,0.000221219442987364,0.000564921362393722,0.355278736498341,7.09219686618745e-05,0.0502426516412853,0.212314777504049,0.507298630965568,0.808794653879077,0.307144785262816
1,6,0.704453955621714,0.801564337319932,0.759296606496342,0.226958203693674,0.161746891451741,0.000961632563303061,0.198318110399522,0.689106272556739,0.999673376736869,0.554529517148167,0.00494934427970106,0.999941808794203,0.999934372272758,0.474709507731551
1,7,0.57075687561817,0.999951835451184,0.999967439508153,0.999973694963992,0.287465205433301,0.11346046900341,0.288358448113615,0.790643307983819,0.816171018670178,2.15671437981957e-05,0.000238607833207727,0.984620880148693,0.988955114970591,0.999972423604953
1,8,0.823486196058176,0.995866696101181,0.999702730146734,0.934162814784594,0.0156279518434266,0.00105249242381755,0.0303166863892168,0.631552488561233,0.0858475051603909,0.286009528021749,1.68952240406917e-05,0.999868452924426,0.9999751071381,0.999945015625803
1,9,0.148114813890048,0.165678662657917,0.721013870445633,0.925072699629801,0.00427565840348887,0.000783595359965972,0.000962752923235888,0.411544646164156,0.0597932290287115,0.0311558602067334,4.41128061190454e-07,0.577890633468793,0.507442297188873,0.892686543606537
1,10,0.787403360240077,0.999998637828027,0.238366355849707,0.547250123160673,0.0911602031572163,0.00173525759661985,0.00629869715888254,0.0670821814529781,0.345845297419569,0.000160865481737549,0.999998577090477,0.181042833706065,0.814620167920359,0.762760638935003
