"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
1,1,0.644169486368368,0.617454940134962,0.533064442279986,0.384403980226779,0.445944408282734,0.430853114333647,0.32986127690413,0.198982923203154,NA,NA,0.231879737250803,0.674953996473411,0.706246360400165,NA
1,2,0.654593841883736,0.613713324018024,0.502616509159809,0.367704359051578,0.445123644960142,0.368335807603168,0.381676565952921,0.176625247537273,0.386753589245432,0.215356529182771,NA,NA,NA,0.563845415615511
1,3,0.588944487819069,0.619432107289051,0.527114923657411,0.392024667765858,0.414687847945101,0.409134554445497,0.331800511109846,0.185880515372793,NA,0.251272121207238,0.149192801168771,NA,0.552225832584269,NA
1,4,0.657424343359252,0.624918620810279,0.53704217121421,0.35126018372451,0.434545447162081,0.413050650436231,0.311038799772541,0.192585254016867,0.401029358781,0.185151522287901,0.157459799820285,NA,NA,NA
1,5,0.645763852657263,0.6475356933846,0.524576290009178,0.407462195739182,0.447860981038915,0.423003518254859,0.365619818567148,0.179483800797412,0.403769638930086,NA,NA,0.63510803557991,NA,0.682288883212202
1,6,0.634009792358582,0.630400083806086,0.535072664445858,0.367802326914819,0.442584340491947,0.360840078758735,0.38822891691487,0.189413180043142,NA,0.19893268297889,0.167254102360696,NA,NA,0.828403796484835
1,7,0.567498874765818,0.550425556325398,0.46558870664285,0.319437492434947,0.387579609112599,0.336355964807341,0.310642441337789,0.173200667335542,0.378533127800389,0.190225381800819,0.181290825211617,NA,NA,NA
1,8,0.595415515918539,0.545340620316392,0.471062175918085,0.352712234434964,0.408397425405303,0.357580398051717,0.322291073461196,0.193239046734071,0.413319386308061,0.231158547987432,0.275010291680493,NA,NA,NA
1,9,0.736756816155444,0.680552034780034,0.570955401913383,0.374214448568831,0.459099104182104,0.440740264583565,0.34739909299108,0.213504412851339,0.417161756942881,NA,0.253407112263765,NA,0.531243071837362,NA
1,10,0.656026274610106,0.6002764621791,0.510874971818557,0.347087021931628,0.463292840940735,0.386543415729536,0.335780071746517,0.177551278740883,0.40641555865943,0.204131368819224,NA,0.575773369387227,NA,NA
