"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
0.5,1,0.0258316119106325,0.00939176054097968,0.155533463462006,0.080752718392415,0.000881738465406512,0.000448424246326073,7.42990566573454e-05,0.6557398385374,0.741182346446197,NA,NA,NA,0.0848914502459057,0.00264873156366829
0.5,2,0.935637096608162,0.393334127674999,0.83614116256632,0.455852126888916,0.00147454430095406,0.0118197762583268,0.00381351953750353,0.29580770424016,0.234609639779198,0.518829388973055,0.000621609064388684,NA,NA,NA
0.5,3,0.19406087113857,0.261377094967615,0.122387086169281,0.0984442698999337,0.00119956380009678,3.60407223796155e-05,0.00866381655357329,0.797626995962917,NA,0.000261752318031716,NA,0.503189860603191,0.101774703367431,NA
0.5,4,0.502806901223029,0.534445147161351,0.767663251561078,0.76234316609942,0.0127812282796549,0.0187798476383099,0.00112914347141602,0.766188598417316,NA,NA,NA,0.810475379689979,0.821186379341844,0.124544875737916
0.5,5,0.899086833526609,0.833213887702136,0.585156789654865,0.0303551061740832,0.176893318151324,0.000134919719767757,0.00226283217264478,0.68555849367078,0.0744767971118576,NA,NA,NA,0.00047358001332376,0.398581876252619
0.5,6,0.118903810488001,0.0795958060278366,0.197035640969494,0.0642910816480962,0.000873721452796072,7.85651121699704e-05,0.0190816020788485,0.188908456364739,0.987673897418356,3.99397865602502e-06,NA,0.00371143166874521,NA,NA
0.5,7,0.435272419510182,0.261187113436509,0.47416503255382,0.322531428781229,0.0169784450294537,0.00207044548899082,0.159158550148118,0.082129389752942,0.0109006274709025,NA,0.70792700471823,NA,NA,0.165595814265546
0.5,8,0.540877264397548,0.299788974566845,0.802157158254698,0.0430227416461173,0.000463586526961324,0.00163447445207021,0.00910756677038815,0.69884076895592,0.114837749738505,0.0066019632556733,8.04364977513572e-07,NA,NA,NA
0.5,9,0.00554532376295569,0.0421642146443104,0.0865395218230491,0.0772872684383359,0.000982144131302931,0.000131905906626706,0.000132177816734691,0.941205347891157,NA,4.02960424326082e-05,6.66724506999117e-05,NA,0.0168448741301253,NA
0.5,10,0.648714615891127,0.42170875442999,0.380811691765206,0.528459205734748,0.109530135801311,0.0194157205500731,0.00996054547066838,0.838546577908631,NA,NA,1.45742377861691e-05,NA,0.752744369007556,0.0824800288049974
