"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
0.5,1,0.464801493821386,0.486204013619132,0.313086638918086,0.306508733622912,0.0183201490946405,0.00429153746540534,0.00145432153031932,0.396047824475018,0.291160376360901,0.84879368147575,0.343520469368492,0.902696782695083,0.804503037998599,0.407590560270756
0.5,2,0.996133782697508,0.488443867345385,0.492098159116973,0.451036427457473,0.241166332176538,0.0136705514471682,0.00101852154187987,0.998869523691924,0.34587827288382,0.0364188753408494,1.12809912011791e-06,0.999967765278235,0.530289434092547,0.594462245028144
0.5,3,0.746258682295946,0.436210674522631,0.825006959915925,0.191495725193926,0.323730703320229,0.00043128979611029,0.00753162806779373,0.244176877630032,0.601743828313306,0.00185189248080664,0.417882280761511,0.0317807547030362,0.0259557630347584,0.95076529493697
0.5,4,0.99939252973094,0.521253738630496,0.899320416925236,0.883455602890821,0.000300343992629903,9.65843086284668e-05,0.00362056332280614,0.280048559466246,0.452245480527641,0.0738919683828203,0.726733073987723,0.157966431323101,0.409961629784135,0.0843125005004726
0.5,5,0.770001339039645,0.567375201672734,0.882675665937213,0.351952397567362,0.0735074507963769,0.00113977813706323,0.0984502643751097,0.415865872764213,0.000816301367287275,0.957063831291681,0.25859241577937,0.879660712331688,0.0400861809115005,0.321826310686604
0.5,6,0.960893272607467,0.999882236072855,0.999920632759035,0.858796133295445,0.574895138984012,0.22686916356048,0.342281315862343,0.499897954778362,0.824921145141683,0.0994236262295223,0.999911471979781,0.203298729634114,0.999984123829078,0.977344466715664
0.5,7,0.918508006373346,0.999872626545422,0.847400057239795,0.999943757383685,0.0244540672059621,0.0370759720201486,0.0157666670228507,0.102384633470598,0.117576895546704,0.727624991288566,0.0707528874760692,0.999762985364728,0.998559197197695,0.195881372188798
0.5,8,0.976892317381374,0.715241871203695,0.232991915821277,0.983709130206753,0.0130376677760584,0.00655127262500721,0.000144582304868024,0.916205192059929,0.00249140442776841,0.000286770626337418,0.000537685862779247,0.956691425133049,0.868124355198729,0.999986483971887
0.5,9,0.533586839053625,0.862050148609568,0.0771724515532881,0.418936853182017,0.0172159016266031,0.00595715292934007,0.430831857097325,0.273311671388232,0.287071881239271,2.39968403117352e-05,1.642857851758e-06,0.584616103774379,0.0425118167015544,0.351843102263918
0.5,10,0.994283038557126,0.999989358869745,0.110547615689616,0.837924256351619,0.574419112117065,0.0289567979373544,0.0319455521649901,0.346357421997644,0.998328140230106,0.195528105414131,8.96234062741641e-07,0.806803762009053,0.192341927986595,0.500913142886122
