"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
1,1,0.274225416033744,0.658139276256454,0.283559900043246,0.0295110279356636,0.100347003159826,0.00139203928984855,0.000926182076279147,0.342780171896697,NA,NA,2.99310959261945e-06,0.068054326112388,0.350712968990737,NA
1,2,0.333112982499703,0.292221644041734,0.805282661903378,0.169407021726171,0.000337734183013527,7.19767160755058e-05,0.0416908590223071,0.505458799162133,0.801288353019654,2.89109116562436e-05,NA,NA,NA,0.271095814145661
1,3,0.259561069994375,0.0307100460089524,0.0499535712650683,0.0500663495364284,0.0106533472975101,8.32740588689873e-05,0.0459048940562592,0.594242472088427,NA,4.72150372798907e-07,0.690732257324492,NA,0.0529072330220057,NA
1,4,0.45272830608393,0.631784941125899,0.677741318753259,0.511248906452898,4.62492951618376e-05,3.16294372317838e-05,0.0391008854667125,0.393089293663233,0.885081487256,0.290824134555527,0.000219354613301137,NA,NA,NA
1,5,0.0142158417697522,0.0107759356012045,0.228449249395826,0.0336646925309319,0.000189677807746147,0.000214995532959561,0.00779973875968665,0.861026100648653,0.00012942211298772,NA,NA,0.0359720535923764,NA,0.219213897724066
1,6,0.461066774969918,0.48315509708297,0.280329349170563,0.152332989254831,0.000878396142264704,0.00140975298051926,0.000394561566144924,0.76452308017242,NA,0.150363855434682,0.00177997862771972,NA,NA,0.1278864831824
1,7,0.370296313356724,0.448114166987914,0.961245411076648,0.956646852591252,0.356819802010124,0.0581436697337618,0.146178336018261,0.556252549528514,0.373750725709596,0.0816903443467052,9.37909520362101e-05,NA,NA,NA
1,8,0.0280000531339184,0.0669065913794207,0.0523710642072799,0.112292070378972,0.120068367464793,0.0118367413288465,5.36472648449138e-05,0.285164185361311,0.395644496761533,0.413744043696325,8.05391199953931e-07,NA,NA,NA
1,9,0.775249725921433,0.922238589247011,0.669449797478114,0.426516738515838,0.0109970960522145,0.000244459805823549,0.25363342850855,0.332549128160315,0.113169225652567,NA,5.49005196945895e-05,NA,0.225980400921805,NA
1,10,0.18295818275341,0.340079183928704,0.300263788258764,0.0319180914376955,0.000200552199048021,4.36450313889836e-07,0.0971237553952937,0.332694651812654,0.0574809641578664,0.0173718001829595,NA,0.470282775741105,NA,NA
