"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,870,130,573,427,0.87,0.573,0.427,0.13,0.427
0.5,0.001,866,134,555,445,0.866,0.555,0.445,0.134,0.445
0.5,0.01,846,154,462,538,0.846,0.462,0.538,0.154,0.538
0.5,0.05,729,271,172,828,0.729,0.172,0.828,0.271,0.828
0.5,0.1,553,447,33,967,0.553,0.033,0.967,0.447,0.967
0.5,0.5,0,1000,0,1000,0,0,1,1,1
