"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,1000,0,1000,0,1,1,0,0,0
1,0.001,1000,0,999,1,1,0.999,0.001,0,0.001
1,0.01,993,7,984,16,0.993,0.984,0.016,0.007,0.016
1,0.05,965,35,909,91,0.965,0.909,0.091,0.035,0.091
1,0.1,937,63,825,175,0.937,0.825,0.175,0.063,0.175
1,0.5,693,307,276,724,0.693,0.276,0.724,0.307,0.724
