"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,1000,0,999,1,1,0.999,0.001,0,0.001
0.5,0.001,1000,0,998,2,1,0.998,0.002,0,0.002
0.5,0.01,993,7,988,12,0.993,0.988,0.012,0.007,0.012
0.5,0.05,954,46,911,89,0.954,0.911,0.089,0.046,0.089
0.5,0.1,920,80,830,170,0.92,0.83,0.17,0.08,0.17
0.5,0.5,635,365,297,703,0.635,0.297,0.703,0.365,0.703
