"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,2,1e-04,948,52,695,305,0.948,0.695,0.305,0.052,0.305
0.5,2,0.001,948,52,686,314,0.948,0.686,0.314,0.052,0.314
0.5,2,0.01,940,60,619,381,0.94,0.619,0.381,0.06,0.381
0.5,2,0.05,894,106,329,671,0.894,0.329,0.671,0.106,0.671
0.5,2,0.1,807,193,136,864,0.807,0.136,0.864,0.193,0.864
0.5,2,0.5,114,886,0,1000,0.114,0,1,0.886,1
