"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2,1e-04,939,61,655,345,0.939,0.655,0.345,0.061,0.345
1,2,0.001,936,64,645,355,0.936,0.645,0.355,0.064,0.355
1,2,0.01,930,70,569,431,0.93,0.569,0.431,0.07,0.431
1,2,0.05,895,105,308,692,0.895,0.308,0.692,0.105,0.692
1,2,0.1,832,168,145,855,0.832,0.145,0.855,0.168,0.855
1,2,0.5,148,852,0,1000,0.148,0,1,0.852,1
