"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1.5,1e-04,953,47,697,303,0.953,0.697,0.303,0.047,0.303
1,1.5,0.001,952,48,686,314,0.952,0.686,0.314,0.048,0.314
1,1.5,0.01,946,54,616,384,0.946,0.616,0.384,0.054,0.384
1,1.5,0.05,915,85,363,637,0.915,0.363,0.637,0.085,0.637
1,1.5,0.1,877,123,167,833,0.877,0.167,0.833,0.123,0.833
1,1.5,0.5,370,630,0,1000,0.37,0,1,0.63,1
