"Iteration","BestLambda"
1,0.003
2,0.002
3,0.001
4,0.001
5,0.004
6,0.003
7,0.004
8,0.003
9,0.005
10,0.004
11,0.004
12,0.003
13,0.008
14,0.005
15,0.004
16,0.003
17,0.001
18,0.001
19,0.007
20,0.003
21,0.003
22,0.002
23,0.004
24,0.001
25,0.005
26,0.003
27,0.004
28,0.006
29,0.008
30,0.002
31,0.004
32,0.002
33,0.005
34,0.005
35,0.003
36,0.002
37,0.001
38,0.002
39,0.004
40,0.002
41,0.001
42,0.008
43,0.005
44,0.002
45,0.002
46,0.008
47,0.005
48,0.002
49,0.005
50,0.001
51,0.002
52,0.003
53,0.006
54,0.003
55,0.006
56,0.01
57,0.001
58,0.002
59,0.004
60,0.001
61,0.007
62,0.002
63,0.002
64,0.001
65,0.006
66,0.004
67,0.006
68,0.002
69,0.001
70,0.007
71,0.005
72,0.005
73,0.002
74,0.004
75,0.002
76,0.007
77,0.003
78,0.005
79,0.001
80,0.007
81,0.004
82,0.003
83,0.007
84,0.001
85,0.007
86,0.008
87,0.008
88,0.002
89,0.004
90,0.002
91,0.006
92,0.005
93,0.002
94,0.002
95,0.002
96,0.002
97,0.006
98,0.001
99,0.002
100,0.005
101,0.004
102,0.004
103,0.002
104,0.001
105,0.003
106,0.006
107,0.003
108,0.006
109,0.001
110,0.008
111,0.005
112,0.003
113,0.005
114,0.006
115,0.002
116,0.005
117,0.002
118,0.005
119,0.004
120,0.004
121,0.004
122,0.002
123,0.001
124,0.002
125,0.006
126,0.007
127,0.008
128,0.003
129,0.003
130,0.007
131,0.004
132,0.006
133,0.004
134,0.001
135,0.003
136,0.004
137,0.002
138,0.001
139,0.001
140,0.001
141,0.008
142,0.003
143,0.002
144,0.001
145,0.002
146,0.003
147,0.003
148,0.005
149,0.004
150,0.003
151,0.005
152,0.001
153,0.003
154,0.009
155,0.002
156,0.005
157,0.006
158,0.003
159,0.006
160,0.005
161,0.003
162,0.002
163,0.005
164,0.003
165,0.001
166,0.003
167,0.001
168,0.004
169,0.007
170,0.006
171,0.003
172,0.004
173,0.001
174,0.001
175,0.002
176,0.004
177,0.004
178,0.002
179,0.002
180,0.005
181,0.003
182,0.003
183,0.003
184,0.002
185,0.001
186,0.002
187,0.003
188,0.002
189,0.002
190,0.002
191,0.003
192,0.004
193,0.003
194,0.008
195,0.001
196,0.002
197,0.006
198,0.003
199,0.005
200,0.001
201,0.001
202,0.005
203,0.002
204,0.004
205,0.004
206,0.005
207,0.007
208,0.003
209,0.005
210,0.005
211,0.005
212,0.004
213,0.004
214,0.004
215,0.003
216,0.006
217,0.002
218,0.004
219,0.004
220,0.002
221,0.001
222,0.002
223,0.006
224,0.007
225,0.003
226,0.001
227,0.004
228,0.005
229,0.009
230,0.005
231,0.003
232,0.002
233,0.002
234,0.004
235,0.002
236,0.002
237,0.005
238,0.001
239,0.006
240,0.003
241,0.006
242,0.003
243,0.004
244,0.005
245,0.006
246,0.005
247,0.008
248,0.001
249,0.003
250,0.004
