"Iteration","BestLambda"
1,0.03
2,0.03
3,0.03
4,0.03
5,0.03
6,0.03
7,0.03
8,0.03
9,0.03
10,0.03
11,0.03
12,0.03
13,0.03
14,0.00271720766908847
15,0.03
16,0.03
17,0.03
18,0.03
19,0.03
20,0.03
21,0.0090286338984729
22,0.03
23,0.03
24,0.03
25,0.0121898074644752
26,0.03
27,0.03
28,0.03
29,0.03
30,0.03
31,0.03
32,0.03
33,0.03
34,0.03
35,0.0222201226511208
36,0.03
37,0.03
38,0.0090286338984729
39,0.000246107250565106
40,0.03
41,0.03
42,0.03
43,0.03
44,0.03
45,0.0222201226511208
46,0.03
47,0.03
48,0.03
49,0.03
50,0.03
51,0.03
52,0.03
53,0.03
54,0.03
55,0.03
56,0.0164577950210284
57,0.03
58,1e-04
59,0.03
60,0.03
61,0.03
62,0.03
63,0.03
64,0.03
65,0.0164577950210284
66,0.03
67,0.0164577950210284
68,0.03
69,0.03
70,0.03
71,0.03
72,0.03
73,0.03
74,0.03
75,0.03
76,0.03
77,0.03
78,0.03
79,0.03
80,0.03
81,0.03
82,0.03
83,0.03
84,0.03
85,0.03
86,0.0222201226511208
87,0.0164577950210284
88,0.0121898074644752
89,0.03
90,0.03
91,0.03
92,0.03
93,0.03
94,0.03
95,0.03
96,0.03
97,0.03
98,0.03
99,0.03
100,0.03
101,0.03
102,0.03
103,0.03
104,0.03
105,0.03
106,0.03
107,0.03
108,0.0121898074644752
109,0.03
110,0.03
111,0.03
112,0.03
113,0.03
114,0.03
115,0.000135012756099646
116,0.03
117,0.03
118,0.03
119,0.0121898074644752
120,0.03
121,0.03
122,0.03
123,0.03
124,0.03
125,0.03
126,0.0121898074644752
127,0.03
128,0.03
129,0.03
130,0.0222201226511208
131,0.03
132,0.03
133,0.03
134,0.00271720766908847
135,0.03
136,0.03
137,0.03
138,0.03
139,0.03
140,0.03
141,0.03
142,0.03
143,0.0222201226511208
144,0.03
145,0.03
146,0.0121898074644752
147,0.03
148,0.03
149,0.0222201226511208
150,0.03
151,0.03
152,0.03
153,0.03
154,0.03
155,0.0222201226511208
156,0.03
157,0.03
158,0.03
159,0.03
160,0.03
161,0.03
162,0.03
163,0.03
164,0.03
165,0.03
166,0.03
167,0.03
168,0.03
169,0.03
170,0.03
171,0.03
172,0.03
173,0.03
174,0.03
175,0.03
176,0.03
177,0.03
178,0.0090286338984729
179,0.03
180,0.03
181,0.03
182,0.03
183,0.03
184,0.03
185,0.00668724508653783
186,0.03
187,0.03
188,0.03
189,0.03
190,0.03
191,0.00149064156158081
192,0.03
193,0.03
194,0.03
195,0.03
196,0.03
197,0.03
198,0.03
199,0.03
200,1e-04
201,0.03
202,0.03
203,0.03
204,0.0222201226511208
205,0.03
206,0.03
207,0.03
208,0.03
209,0.03
210,0.03
211,0.000246107250565106
212,0.03
213,0.03
214,0.03
215,0.00201255625585706
216,0.03
217,0.03
218,0.03
219,0.03
220,0.03
221,0.03
222,0.03
223,0.03
224,0.03
225,0.03
226,0.03
227,0.03
228,0.03
229,0.03
230,0.03
231,0.03
232,0.03
233,0.0164577950210284
234,0.03
235,0.03
236,0.03
237,0.03
238,0.03
239,0.03
240,0.03
241,0.03
242,0.03
243,0.03
244,0.03
245,0.03
246,0.03
247,1e-04
248,0.03
249,0.03
250,0.0222201226511208
