"Iteration","BestLambda"
1,0.005
2,0.005
3,0.004
4,0.005
5,0.004
6,0.006
7,0.005
8,0.006
9,0.001
10,0.002
11,0.01
12,0.002
13,0.01
14,0.006
15,0.002
16,0.006
17,0.01
18,0.006
19,0.003
20,0.004
21,0.008
22,0.002
23,0.001
24,0.006
25,0.008
26,0.006
27,0.002
28,0.007
29,0.009
30,0.004
31,0.003
32,0.008
33,0.005
34,0.007
35,0.008
36,0.002
37,0.006
38,0.008
39,0.008
40,0.009
41,0.005
42,0.004
43,0.001
44,0.003
45,0.003
46,0.003
47,0.01
48,0.009
49,0.004
50,0.004
51,0.002
52,0.004
53,0.005
54,0.009
55,0.006
56,0.002
57,0.005
58,0.009
59,0.003
60,0.008
61,0.002
62,0.002
63,0.005
64,0.003
65,0.002
66,0.005
67,0.004
68,0.01
69,0.004
70,0.002
71,0.008
72,0.002
73,0.002
74,0.003
75,0.008
76,0.009
77,0.004
78,0.008
79,0.004
80,0.004
81,0.01
82,0.009
83,0.01
84,0.005
85,0.003
86,0.004
87,0.01
88,0.005
89,0.008
90,0.009
91,0.002
92,0.004
93,0.007
94,0.006
95,0.004
96,0.01
97,0.004
98,0.001
99,0.005
100,0.01
101,0.01
102,0.009
103,0.003
104,0.01
105,0.005
106,0.007
107,0.008
108,0.01
109,0.005
110,0.008
111,0.004
112,0.009
113,0.007
114,0.004
115,0.002
116,0.005
117,0.006
118,0.003
119,0.005
120,0.002
121,0.01
122,0.006
123,0.003
124,0.002
125,0.003
126,0.01
127,0.003
128,0.003
129,0.003
130,0.004
131,0.009
132,0.01
133,0.003
134,0.004
135,0.007
136,0.002
137,0.003
138,0.008
139,0.01
140,0.001
141,0.006
142,0.004
143,0.005
144,0.006
145,0.002
146,0.002
147,0.009
148,0.007
149,0.003
150,0.006
151,0.002
152,0.006
153,0.005
154,0.003
155,0.006
156,0.005
157,0.002
158,0.007
159,0.009
160,0.002
161,0.004
162,0.005
163,0.004
164,0.006
165,0.008
166,0.002
167,0.007
168,0.002
169,0.005
170,0.002
171,0.001
172,0.005
173,0.004
174,0.006
175,0.006
176,0.009
177,0.005
178,0.004
179,0.01
180,0.004
181,0.003
182,0.004
183,0.008
184,0.007
185,0.008
186,0.01
187,0.008
188,0.01
189,0.004
190,0.006
191,0.006
192,0.003
193,0.01
194,0.008
195,0.006
196,0.01
197,0.008
198,0.002
199,0.01
200,0.01
201,0.007
202,0.005
203,0.006
204,0.01
205,0.002
206,0.004
207,0.009
208,0.002
209,0.003
210,0.002
211,0.005
212,0.006
213,0.005
214,0.01
215,0.008
216,0.004
217,0.006
218,0.01
219,0.003
220,0.005
221,0.009
222,0.006
223,0.002
224,0.001
225,0.009
226,0.01
227,0.002
228,0.004
229,0.002
230,0.002
231,0.004
232,0.001
233,0.002
234,0.001
235,0.01
236,0.004
237,0.001
238,0.004
239,0.009
240,0.002
241,0.001
242,0.01
243,0.004
244,0.003
245,0.002
246,0.006
247,0.006
248,0.01
249,0.002
250,0.008
