"Iteration","BestLambda"
1,0.01
2,0.01
3,0.002
4,0.01
5,0.007
6,0.003
7,0.008
8,0.01
9,0.007
10,0.008
11,0.001
12,0.005
13,0.003
14,0.007
15,0.005
16,0.003
17,0.002
18,0.004
19,0.003
20,0.002
21,0.003
22,0.009
23,0.004
24,0.008
25,0.01
26,0.003
27,0.004
28,0.01
29,0.006
30,0.01
31,0.01
32,0.009
33,0.01
34,0.01
35,0.008
36,0.01
37,0.007
38,0.006
39,0.001
40,0.007
41,0.005
42,0.002
43,0.008
44,0.009
45,0.008
46,0.001
47,0.01
48,0.01
49,0.01
50,0.007
51,0.006
52,0.008
53,0.006
54,0.01
55,0.01
56,0.003
57,0.006
58,0.009
59,0.01
60,0.002
61,0.005
62,0.006
63,0.01
64,0.005
65,0.002
66,0.004
67,0.007
68,0.009
69,0.01
70,0.006
71,0.003
72,0.009
73,0.008
74,0.006
75,0.009
76,0.002
77,0.01
78,0.009
79,0.006
80,0.01
81,0.005
82,0.01
83,0.005
84,0.008
85,0.003
86,0.01
87,0.01
88,0.005
89,0.003
90,0.009
91,0.01
92,0.008
93,0.009
94,0.002
95,0.01
96,0.01
97,0.004
98,0.002
99,0.004
100,0.01
101,0.008
102,0.01
103,0.01
104,0.009
105,0.005
106,0.009
107,0.01
108,0.009
109,0.01
110,0.01
111,0.008
112,0.006
113,0.003
114,0.007
115,0.01
116,0.01
117,0.005
118,0.005
119,0.01
120,0.004
121,0.006
122,0.006
123,0.01
124,0.01
125,0.006
126,0.01
127,0.001
128,0.003
129,0.009
130,0.004
131,0.004
132,0.001
133,0.007
134,0.007
135,0.005
136,0.006
137,0.005
138,0.008
139,0.01
140,0.009
141,0.003
142,0.002
143,0.006
144,0.01
145,0.009
146,0.003
147,0.007
148,0.01
149,0.005
150,0.003
151,0.001
152,0.005
153,0.005
154,0.008
155,0.008
156,0.01
157,0.006
158,0.007
159,0.01
160,0.008
161,0.01
162,0.01
163,0.003
164,0.01
165,0.005
166,0.006
167,0.002
168,0.01
169,0.009
170,0.01
171,0.007
172,0.01
173,0.004
174,0.01
175,0.01
176,0.006
177,0.006
178,0.01
179,0.007
180,0.006
181,0.01
182,0.007
183,0.01
184,0.01
185,0.006
186,0.01
187,0.008
188,0.003
189,0.002
190,0.004
191,0.005
192,0.007
193,0.01
194,0.009
195,0.004
196,0.007
197,0.009
198,0.01
199,0.01
200,0.01
201,0.008
202,0.01
203,0.001
204,0.005
205,0.008
206,0.001
207,0.003
208,0.004
209,0.006
210,0.01
211,0.006
212,0.008
213,0.005
214,0.001
215,0.01
216,0.008
217,0.004
218,0.003
219,0.007
220,0.008
221,0.005
222,0.003
223,0.008
224,0.006
225,0.01
226,0.007
227,0.01
228,0.008
229,0.009
230,0.01
231,0.001
232,0.003
233,0.01
234,0.001
235,0.001
236,0.006
237,0.009
238,0.002
239,0.003
240,0.01
241,0.008
242,0.007
243,0.008
244,0.002
245,0.005
246,0.005
247,0.009
248,0.009
249,0.01
250,0.008
