"Iteration","BestLambda"
1,0.008
2,0.001
3,0.003
4,0.003
5,0.002
6,0.004
7,0.002
8,0.001
9,0.009
10,0.004
11,0.005
12,0.002
13,0.006
14,0.002
15,0.002
16,0.009
17,0.009
18,0.003
19,0.006
20,0.004
21,0.004
22,0.001
23,0.004
24,0.002
25,0.006
26,0.003
27,0.003
28,0.002
29,0.005
30,0.008
31,0.004
32,0.005
33,0.003
34,0.005
35,0.004
36,0.002
37,0.001
38,0.005
39,0.01
40,0.001
41,0.003
42,0.008
43,0.004
44,0.005
45,0.002
46,0.003
47,0.002
48,0.003
49,0.003
50,0.004
51,0.003
52,0.003
53,0.004
54,0.008
55,0.005
56,0.002
57,0.002
58,0.006
59,0.009
60,0.003
61,0.008
62,0.009
63,0.007
64,0.005
65,0.006
66,0.005
67,0.002
68,0.001
69,0.007
70,0.003
71,0.005
72,0.002
73,0.003
74,0.007
75,0.008
76,0.005
77,0.001
78,0.004
79,0.004
80,0.003
81,0.006
82,0.002
83,0.007
84,0.005
85,0.003
86,0.004
87,0.007
88,0.006
89,0.005
90,0.004
91,0.005
92,0.005
93,0.005
94,0.002
95,0.001
96,0.001
97,0.006
98,0.006
99,0.005
100,0.004
101,0.003
102,0.003
103,0.002
104,0.005
105,0.006
106,0.009
107,0.002
108,0.005
109,0.001
110,0.001
111,0.007
112,0.01
113,0.004
114,0.002
115,0.009
116,0.009
117,0.002
118,0.005
119,0.006
120,0.002
121,0.001
122,0.009
123,0.004
124,0.005
125,0.004
126,0.005
127,0.004
128,0.006
129,0.002
130,0.007
131,0.005
132,0.001
133,0.006
134,0.002
135,0.009
136,0.004
137,0.002
138,0.002
139,0.001
140,0.01
141,0.004
142,0.006
143,0.003
144,0.004
145,0.003
146,0.005
147,0.005
148,0.002
149,0.005
150,0.004
151,0.003
152,0.01
153,0.007
154,0.002
155,0.008
156,0.004
157,0.007
158,0.007
159,0.009
160,0.001
161,0.002
162,0.008
163,0.002
164,0.007
165,0.003
166,0.006
167,0.004
168,0.001
169,0.002
170,0.002
171,0.003
172,0.01
173,0.005
174,0.009
175,0.01
176,0.002
177,0.003
178,0.005
179,0.006
180,0.003
181,0.004
182,0.007
183,0.005
184,0.004
185,0.004
186,0.006
187,0.005
188,0.003
189,0.003
190,0.005
191,0.004
192,0.001
193,0.01
194,0.003
195,0.008
196,0.003
197,0.005
198,0.006
199,0.004
200,0.004
201,0.005
202,0.01
203,0.003
204,0.005
205,0.003
206,0.003
207,0.003
208,0.005
209,0.004
210,0.003
211,0.004
212,0.004
213,0.003
214,0.008
215,0.007
216,0.003
217,0.003
218,0.004
219,0.002
220,0.004
221,0.002
222,0.002
223,0.008
224,0.001
225,0.005
226,0.003
227,0.001
228,0.006
229,0.01
230,0.004
231,0.003
232,0.004
233,0.002
234,0.005
235,0.005
236,0.004
237,0.006
238,0.002
239,0.006
240,0.007
241,0.007
242,0.004
243,0.001
244,0.005
245,0.009
246,0.007
247,0.009
248,0.006
249,0.001
250,0.005
