"Iteration","BestLambda"
1,0.006
2,0.005
3,0.01
4,0.01
5,0.01
6,0.001
7,0.007
8,0.002
9,0.007
10,0.01
11,0.003
12,0.003
13,0.01
14,0.005
15,0.002
16,0.008
17,0.007
18,0.002
19,0.005
20,0.003
21,0.007
22,0.005
23,0.007
24,0.004
25,0.006
26,0.01
27,0.003
28,0.006
29,0.01
30,0.005
31,0.002
32,0.005
33,0.003
34,0.01
35,0.004
36,0.002
37,0.007
38,0.005
39,0.003
40,0.005
41,0.004
42,0.002
43,0.003
44,0.002
45,0.002
46,0.009
47,0.008
48,0.004
49,0.01
50,0.01
51,0.004
52,0.01
53,0.01
54,0.006
55,0.009
56,0.01
57,0.001
58,0.01
59,0.002
60,0.01
61,0.008
62,0.006
63,0.009
64,0.005
65,0.01
66,0.004
67,0.008
68,0.01
69,0.003
70,0.002
71,0.007
72,0.01
73,0.003
74,0.002
75,0.003
76,0.006
77,0.009
78,0.008
79,0.008
80,0.005
81,0.01
82,0.01
83,0.01
84,0.001
85,0.01
86,0.007
87,0.009
88,0.002
89,0.01
90,0.005
91,0.006
92,0.003
93,0.005
94,0.007
95,0.008
96,0.006
97,0.004
98,0.003
99,0.01
100,0.006
101,0.004
102,0.01
103,0.001
104,0.01
105,0.001
106,0.008
107,0.007
108,0.006
109,0.01
110,0.006
111,0.007
112,0.003
113,0.006
114,0.005
115,0.004
116,0.006
117,0.004
118,0.006
119,0.01
120,0.005
121,0.008
122,0.01
123,0.005
124,0.002
125,0.007
126,0.003
127,0.01
128,0.006
129,0.001
130,0.004
131,0.002
132,0.007
133,0.001
134,0.01
135,0.007
136,0.007
137,0.003
138,0.005
139,0.005
140,0.003
141,0.008
142,0.003
143,0.01
144,0.009
145,0.006
146,0.01
147,0.004
148,0.005
149,0.003
150,0.005
151,0.01
152,0.007
153,0.006
154,0.006
155,0.01
156,0.002
157,0.002
158,0.005
159,0.004
160,0.008
161,0.005
162,0.01
163,0.01
164,0.003
165,0.007
166,0.01
167,0.01
168,0.01
169,0.004
170,0.01
171,0.01
172,0.004
173,0.01
174,0.006
175,0.006
176,0.01
177,0.003
178,0.002
179,0.002
180,0.003
181,0.008
182,0.005
183,0.005
184,0.005
185,0.008
186,0.01
187,0.006
188,0.002
189,0.002
190,0.01
191,0.005
192,0.005
193,0.01
194,0.009
195,0.01
196,0.01
197,0.006
198,0.004
199,0.003
200,0.01
201,0.008
202,0.003
203,0.01
204,0.007
205,0.007
206,0.006
207,0.006
208,0.007
209,0.004
210,0.007
211,0.004
212,0.002
213,0.002
214,0.006
215,0.006
216,0.002
217,0.003
218,0.005
219,0.003
220,0.008
221,0.001
222,0.003
223,0.009
224,0.01
225,0.01
226,0.008
227,0.004
228,0.002
229,0.01
230,0.006
231,0.008
232,0.01
233,0.003
234,0.01
235,0.002
236,0.003
237,0.003
238,0.007
239,0.003
240,0.007
241,0.01
242,0.005
243,0.003
244,0.005
245,0.002
246,0.01
247,0.01
248,0.008
249,0.001
250,0.006
