"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2,1e-04,855,145,548,452,0.855,0.548,0.452,0.145,0.452
1,2,0.001,847,153,537,463,0.847,0.537,0.463,0.153,0.463
1,2,0.01,836,164,495,505,0.836,0.495,0.505,0.164,0.505
1,2,0.05,777,223,313,687,0.777,0.313,0.687,0.223,0.687
1,2,0.1,705,295,177,823,0.705,0.177,0.823,0.295,0.823
1,2,0.5,111,889,0,1000,0.111,0,1,0.889,1
