"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,2,1e-04,879,121,634,366,0.879,0.634,0.366,0.121,0.366
0.5,2,0.001,876,124,624,376,0.876,0.624,0.376,0.124,0.376
0.5,2,0.01,856,144,564,436,0.856,0.564,0.436,0.144,0.436
0.5,2,0.05,785,215,348,652,0.785,0.348,0.652,0.215,0.652
0.5,2,0.1,720,280,185,815,0.72,0.185,0.815,0.28,0.815
0.5,2,0.5,91,909,1,999,0.091,0.001,0.999,0.909,0.999
