"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2.5,1e-04,1000,0,998,2,1,0.998,0.002,0,0.002
1,2.5,0.001,999,1,989,11,0.999,0.989,0.011,0.001,0.011
1,2.5,0.01,985,15,877,123,0.985,0.877,0.123,0.015,0.123
1,2.5,0.05,935,65,453,547,0.935,0.453,0.547,0.065,0.547
1,2.5,0.1,845,155,191,809,0.845,0.191,0.809,0.155,0.809
1,2.5,0.5,56,944,0,1000,0.056,0,1,0.944,1
