"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1.5,1e-04,723,277,505,495,0.723,0.505,0.495,0.277,0.495
0.5,1.5,0.001,717,283,497,503,0.717,0.497,0.503,0.283,0.503
0.5,1.5,0.01,701,299,470,530,0.701,0.47,0.53,0.299,0.53
0.5,1.5,0.05,659,341,368,632,0.659,0.368,0.632,0.341,0.632
0.5,1.5,0.1,592,408,272,728,0.592,0.272,0.728,0.408,0.728
0.5,1.5,0.5,148,852,5,995,0.148,0.005,0.995,0.852,0.995
