"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1.75,1e-04,940,60,654,346,0.94,0.654,0.346,0.06,0.346
1,1.75,0.001,938,62,638,362,0.938,0.638,0.362,0.062,0.362
1,1.75,0.01,932,68,561,439,0.932,0.561,0.439,0.068,0.439
1,1.75,0.05,905,95,315,685,0.905,0.315,0.685,0.095,0.685
1,1.75,0.1,848,152,142,858,0.848,0.142,0.858,0.152,0.858
1,1.75,0.5,255,745,0,1000,0.255,0,1,0.745,1
