"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,910,90,598,402,0.91,0.598,0.402,0.09,0.402
1,0.001,907,93,591,409,0.907,0.591,0.409,0.093,0.409
1,0.01,895,105,509,491,0.895,0.509,0.491,0.105,0.491
1,0.05,838,162,261,739,0.838,0.261,0.739,0.162,0.739
1,0.1,752,248,117,883,0.752,0.117,0.883,0.248,0.883
1,0.5,38,962,0,1000,0.038,0,1,0.962,1
