"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,937,63,669,331,0.937,0.669,0.331,0.063,0.331
0.5,0.001,936,64,659,341,0.936,0.659,0.341,0.064,0.341
0.5,0.01,920,80,574,426,0.92,0.574,0.426,0.08,0.426
0.5,0.05,849,151,286,714,0.849,0.286,0.714,0.151,0.714
0.5,0.1,731,269,103,897,0.731,0.103,0.897,0.269,0.897
0.5,0.5,27,973,0,1000,0.027,0,1,0.973,1
