"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,4,1e-04,"Induced","Detected",1000
1,4,1e-04,"Induced","Not Detected",0
1,4,1e-04,"Not Induced","Detected",1000
1,4,1e-04,"Not Induced","Not Detected",0
1,4,0.001,"Induced","Detected",998
1,4,0.001,"Induced","Not Detected",2
1,4,0.001,"Not Induced","Detected",999
1,4,0.001,"Not Induced","Not Detected",1
1,4,0.01,"Induced","Detected",978
1,4,0.01,"Induced","Not Detected",22
1,4,0.01,"Not Induced","Detected",984
1,4,0.01,"Not Induced","Not Detected",16
1,4,0.05,"Induced","Detected",898
1,4,0.05,"Induced","Not Detected",102
1,4,0.05,"Not Induced","Detected",892
1,4,0.05,"Not Induced","Not Detected",108
1,4,0.1,"Induced","Detected",812
1,4,0.1,"Induced","Not Detected",188
1,4,0.1,"Not Induced","Detected",767
1,4,0.1,"Not Induced","Not Detected",233
1,4,0.5,"Induced","Detected",277
1,4,0.5,"Induced","Not Detected",723
1,4,0.5,"Not Induced","Detected",183
1,4,0.5,"Not Induced","Not Detected",817
