"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,4,1e-04,1000,0,1000,0,1,1,0,0,0
1,4,0.001,998,2,999,1,0.998,0.999,0.001,0.002,0.001
1,4,0.01,978,22,984,16,0.978,0.984,0.016,0.022,0.016
1,4,0.05,898,102,892,108,0.898,0.892,0.108,0.102,0.108
1,4,0.1,812,188,767,233,0.812,0.767,0.233,0.188,0.233
1,4,0.5,277,723,183,817,0.277,0.183,0.817,0.723,0.817
