"Alpha","NoiseScale","Iteration","ASC2_male","ASC2_age","ASC2_income","ASC2_child","ASC3_male","ASC3_age","ASC3_income","ASC3_child","prot25_male","prot25_age","prot25_income","prot25_child","prot50_male","prot50_age","prot50_income","prot50_child","invasive_male","invasive_age","invasive_income","invasive_child"
1,4,1,0.00368750144223124,0.088768094784572,-0.0151389170312541,0.0180778404622585,-0.636240519714633,0.0943664012416582,0.219485129363887,0.278076497185199,0.464451940544515,0.155506825369047,-0.0440388910647897,0.362834477833806,0.19536254765507,-0.051909254039053,-0.370821506830129,0.349721094405265,-0.349002562695153,-0.162791779486093,-0.0217005246450646,0.109302883432662
1,4,2,-0.0857925942120963,-0.0537593605275328,0.300323247609355,-0.0306727429101342,0.00591510803502329,-0.100005890640756,-0.0987116967410511,0.0673279252563125,0.221437135099079,0.310654885834535,0.0531914477539415,-0.0716381470378126,-0.0553475252835082,0.174839319455083,0.00484931536480356,0.0306722936216283,0.29639958301314,-0.100659368892401,0.0933175405256346,-0.205410555595537
1,4,3,-0.110920606761212,-0.182481836890968,-0.144454396193733,0.105979166542208,-0.212695237501558,-0.0516312181598591,-0.133348235403587,0.554675450437092,0.109995872262238,0.0934033602440599,0.155095362960928,-0.163390851258734,0.326673690149227,0.160938451705685,-0.225353257918865,0.0393416759131177,0.0836239781913976,0.00332788117030588,-0.343117179573853,0.511466578361111
1,4,4,0.303192425058375,0.152925347404171,0.145624516980621,-0.341397244644783,0.131719237459645,0.428805670611089,0.162434346416187,0.0693347607859679,-0.0280005534457555,-0.249961842819822,-0.114676724131919,0.116485763899235,-0.118586465674953,0.346409610195137,-0.081458804451289,-0.166771821286932,-0.248260740276601,-0.153485903531562,-0.120204226019923,0.050477879548489
1,4,5,0.270197411372727,0.30408919133557,-0.165952106710841,-0.0383367155072521,0.173627579150319,0.0486375831345893,0.261973564612658,-0.210905891929913,0.377463470261961,-0.0250874890743697,-0.0967116387499593,0.114480560162091,0.244301488951184,-0.0378319546661908,0.280773842375474,-0.0709298311431936,0.378497542653237,0.0270863617864271,0.0248526607291885,-0.188882141449846
1,4,6,0.362137286920538,0.107218443290582,-0.211078013844277,-0.0406403256953131,0.226079297146444,-0.198378057546267,-0.208634056567872,0.325723465407814,-0.486507731641729,0.0491525301739213,0.116401046069836,0.176504931990051,-0.333113086237344,-0.248595661903474,0.0943029852314189,-0.188027293388631,0.148817571041419,0.160259752029758,-0.028069486676462,0.287448080124541
1,4,7,0.317598527515811,0.0100534406124965,0.144631909284527,0.444141245407863,-0.111481591414761,0.0201707406428615,0.0561500472444238,-0.152066563426662,0.22745172960282,0.205590132779928,-0.101013176803764,0.0786214095926461,0.0722875377681526,-0.050262694776544,-0.0929475145102698,0.00174015077444987,0.00334851529881351,-0.0880716682289581,0.357805768487043,-0.150191108110055
1,4,8,0.0842126155405498,-0.0893765958835039,0.00792600120774646,0.128401435824384,0.110365432713547,0.349656512995302,0.00680499340709822,0.260039756398679,0.0129127893307934,-0.257415208377738,0.0944544815180922,0.168172083813521,0.333878765668434,-0.229422852130569,-0.0820977148160821,0.0363835375808257,0.367280410660323,0.169453663780541,0.221908367807794,-0.175202295768606
1,4,9,0.178961715309902,0.0267264472559791,-0.00768672393979309,-0.16680331658187,0.0604919830643651,-0.00890146683079407,0.0227402622951878,0.0804641878654224,-0.118319635656207,0.050518794310303,-0.052568350396578,0.064944511828594,-0.176916460039368,0.181939126610722,-0.205885535122808,0.0527308770579592,0.0514465052958388,-0.0500955996635429,-0.200154902497962,0.152404516366534
1,4,10,0.280970562489678,0.0716361983842139,0.0837958000227624,-0.132123228911485,0.267543047739491,-0.0499023283701307,-0.20414479736466,-0.052060148393918,0.449124581936993,-0.0392535149428755,0.124372059700621,0.111667293350864,0.284059945089954,-0.0787368683370107,0.0102078474478807,0.369249219484266,0.431436508447086,0.160954485669561,-0.181641041777569,0.0134563264512144
