"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2,1e-04,999,1,1000,0,0.999,1,0,0.001,0
1,2,0.001,997,3,998,2,0.997,0.998,0.002,0.003,0.002
1,2,0.01,979,21,981,19,0.979,0.981,0.019,0.021,0.019
1,2,0.05,938,62,886,114,0.938,0.886,0.114,0.062,0.114
1,2,0.1,892,108,773,227,0.892,0.773,0.227,0.108,0.227
1,2,0.5,403,597,185,815,0.403,0.185,0.815,0.597,0.815
